total_convert,post_title,link,parent_categories,child_categories
1,[Update] Bagaimana Keadaan 8 <em>Startup</em> Favorit Editorial <em>Tech in Asia Indonesia</em> 2017 Kini?,https://id.techinasia.com/startup-favorit-editorial-tech-asia-indonesia-2017,Startup,Featured Startup
1,4 <em>Startup</em> Sosial Terbaik Asal Indonesia di Sankalp Awards 2017,https://id.techinasia.com/startup-indonesia-sankalp-awards-2017,Startup,
1,<em>Startup</em> vs <em>Scale-up</em>: Hal yang Berubah Saat Tumbuh dari 10 Jadi 100 Karyawan,https://id.techinasia.com/startup-vs-scale-up,Profesional,Team Management
1,"[Update] Stellar Kapital, VC Tanah Air yang Siap Beri Pendanaan untuk <em>Startup</em> Tahap Awal hingga Seri A",https://id.techinasia.com/stellar-kapital-incar-startup-tahap-awal,Startup,Investor
1,"Pasang Iklan di Mobil, Mitra Pengemudi Sticar Bisa Dapat Penghasilan Tambahan",https://id.techinasia.com/sticar-tawarkan-pendapatan-tambahan-lewat-pemasangan-iklan-di-mobil,Startup,Startup Terbaru
1,Stiker LINE sebagai Penghasilan Alternatif bagi Developer <em>Game</em> Tanah Air,https://id.techinasia.com/stiker-line-dan-manfaatnya-bagi-developer-game-indonesia,Teknologi,"Android, Android Articles"
1,Bagaimana Format Stories Membawa Era Baru di Dunia Media Sosial,https://id.techinasia.com/stories-era-baru-media-sosial,Profesional,Digital Marketing
1,Merancang Strategi Jitu untuk Desain UX yang Efektif,https://id.techinasia.com/strategi-desain-ux-yang-efektif,Profesional,Product Development
1,Strategi Jangka Panjang LinkAja Menghadapi Persaingan Dompet Digital di Indonesia,https://id.techinasia.com/strategi-linkaja-di-persaingan-dompet-digital-indonesia,Startup,Industry Insights
1,Strategi Memimpin Perusahaan yang Berkembang Cepat ala Bos Midtrans,https://id.techinasia.com/strategi-memimpin-perusahaan-yang-berkembang-cepat-ala-bos-midtrans,Startup,Entrepreneur
1,Melakukan Strategi Pemasaran <em>Startup</em> dengan Bujet Terbatas,https://id.techinasia.com/strategi-pemasaran-bujet-terbatas,Profesional,Growth Hack
1,3 Tip Menyusun Strategi Pemasaran Efektif dengan Bujet Terbatas,https://id.techinasia.com/strategi-pemasaran-efektif-bujet-terbatas,Profesional,Digital Marketing
1,3 Tip Strategi Pemasaran untuk Jangkau Calon Konsumen Indonesia,https://id.techinasia.com/strategi-pemasaran-efektif-untuk-konsumen-indonesia,Profesional,Digital Marketing
1,Bagaimana RateS Memaksimalkan Potensi <em>Social Commerce</em> di Indonesia,https://id.techinasia.com/strategi-rates-kembangkan-social-commerce-di-indonesia,Startup,Industry Insights
1,Strategi Mantan COO Gojek Pecahkan Masalah Pendidikan di Indonesia,https://id.techinasia.com/strategi-rohan-monga-di-zenius,Startup,Featured Startup
1,"TikTok Hapus 380.000 Video di AS, Pendapatan Alibaba Naik 28%, dan Lainnya",https://id.techinasia.com/tiktok-hapus-380-000-video-di-as-dan-lainnya,Brief,
1,[Update] 15 Tip dan Trik Memakai Slack untuk Tingkatkan Produktivitas,https://id.techinasia.com/tip-dan-trik-slack,Teknologi,Featured Tech
1,Tip Membuat Video <em>Content Marketing</em> yang Ampuh untuk Promosi,https://id.techinasia.com/tip-membuat-video-emcontent-marketingem-yang-ampuh-untuk-promosi,Profesional,Digital Marketing
1,Apa Saja yang Perlu Diperhatikan untuk Memulai <em>Startup</em> SaaS?,https://id.techinasia.com/tip-mendirikan-startup-saas,Startup,Entrepreneur
1,"Travacello, startup penyedia paket <em>travel</em> yang muncul dari kekaguman terhadap wisata tanah air",https://id.techinasia.com/travacello-startup-penyedia-paket-travel-lokal-jakarta,,"Jakarta, Startup Terbaru"
1,[Infografik] Tren Belanja <em>Online</em> Masyarakat Indonesia di Masa Pandemi,https://id.techinasia.com/tren-belanja-online-pandemi,Visual Story,
1,Tutorial Lengkap Google Spreadsheet untuk para Profesional,https://id.techinasia.com/tutorial-google-spreadsheet-professional,Profesional,Self Management
1,Fokus UangTeman Setelah Menyelesaikan Pendanaan Seri B Tahap Kedua,https://id.techinasia.com/uangteman-pendanaan-seri-b,Startup,Investor
1,Uber Hadirkan Fitur Real Time ID Check untuk Pastikan Identitas Pengemudi Mereka,https://id.techinasia.com/uber-lakukan-verifikasi-online-pada-pengemudi-mereka-secara-berkala,Teknologi,
1,[Video] Cara Bangun <em>Personal Branding</em> untuk Memasarkan Produk,https://id.techinasia.com/video-cara-bangun-personal-branding,Visual Story,
1,[Video] Cara Menambah <em>Viewer</em> di YouTube ala Tech in Asia,https://id.techinasia.com/video-cara-menambah-viewer-youtube,Visual Story,
1,[Update] Kumpulan Portal <em>Online</em> Khusus Wanita di Indonesia,https://id.techinasia.com/website-media-online-khusus-wanita-indonesia,Teknologi,Featured Tech
1,"Gagal Bangun 2 <em>Startup</em>, <em>Founder</em> Ini Ceritakan Pelajaran Berharga yang Ia Petik",https://id.techinasia.com/pelajaran-kegagalan-bangun-2-startup,Startup,Entrepreneur
1,36 Investor <em>Startup</em> Paling Aktif di Asia Tenggara Saat ini,https://id.techinasia.com/36-investor-startup-paling-aktif-di-asia-tenggara,Startup,Investor
1,8 Tip untuk para <em>Founder</em> ketika Pertama Kali Berhadapan dengan Investor,https://id.techinasia.com/8-tip-bertemu-investor,Startup,Industry Insights
1,Bagaimana AirAsia Mengembangkan Diri Jadi Perusahaan Teknologi,https://id.techinasia.com/airasia-berkembang-jadi-perusahaan-teknologi,Acara Eksklusif,PDC &amp; Conference
1,Mengapa AC Ventures Bisa Menjadi VC Berpengaruh bagi <em>Startup</em> di Indonesia?,https://id.techinasia.com/alasan-ac-ventures-bisa-berpengaruh-kuat,Startup,Investor
1,Inilah 5 Alasan Kenapa Anak Muda Cocok Menjadi <em>Foodpreneur</em>,https://id.techinasia.com/alasan-anak-muda-menjadi-foodpreneur,Startup,
1,Alibaba Cloud di Tengah Persaingan Layanan Komputasi Awan Indonesia,https://id.techinasia.com/alibaba-cloud-komputasi-awan-di-indonesia,Teknologi,Featured Tech
1,"Alodokter Terima Pendanaan Seri A Sebesar Rp32,5 Miliar dari Tiga Investor",https://id.techinasia.com/alodokter-terima-pendanaan-seri-a,Startup,"Investor, Region, Jakarta"
1,Bagaimana Zalora Lahirkan Banyak Alumni yang Jadi <em>Founder Startup</em> di Asia Tenggara,https://id.techinasia.com/alumni-zalora-yang-jadi-founder-startup,Startup,Industry Insights
1,Alasan Mengapa Kota <em>Tier</em> Kedua Jadi <em>Hotspot Startup</em> Berikutnya,https://id.techinasia.com/analisis-potensi-kota-tier-kedua-untuk-startup,Visual Story,
1,Bisakah Shopee Untung dan Menjadi <em>E-commerce</em> Terkemuka di Asia Tenggara?,https://id.techinasia.com/analisis-profitabilitas-shopee,Startup,Industry Insights
1,Tantangan dan Peluang Strategi IPO <em>Dual Listing</em> Unikorn Indonesia,https://id.techinasia.com/analisis-rencana-ipo-dual-listing-unikorn-indonesia,Startup,Investor
1,[Opini] Analisis Kopi Susu Akan Melahirkan Unikorn Baru di Indonesia,https://id.techinasia.com/analisis-unikorn-baru-dari-startup-kopi,Startup,
1,Bacakan Si Kecil Dongeng dengan Berbagai Aplikasi Pembaca Cerita Gratis Ini,https://id.techinasia.com/bacakan-si-kecil-dongeng-dengan-berbagai-aplikasi-pembaca-cerita-ini,Teknologi,Featured Tech
1,"Mempelajari Berbagai ""Alat Tempur"" Growth Hacking di Tech in Asia Meetup Jakarta",https://id.techinasia.com/belajar-growth-hacking-di-tech-in-asia-meetup-jakarta,Startup,"Event, Growth Hack"
1,Kini Anda bisa berbelanja di Google Play Store menggunakan Kartu Halo dari Telkomsel,https://id.techinasia.com/beli-aplikasi-google-play-store-kartu-halo-telkomsel,Teknologi,Mobile
1,BigNet ingin sediakan layanan internet murah berkualitas untuk kawasan terpencil di Indonesia,https://id.techinasia.com/bignet-internet-broadband-satelit-murah-daerah-terpencil,Teknologi,
1,Bisnis Langganan Vitamin Berpotensi Mengubah Layanan Kesehatan di Asia,https://id.techinasia.com/bisnis-langganan-vitamin-asia,Startup,Industry Insights
1,Cara Bukalapak Menjaga Komunitas Pelapak agar Bisnisnya Tetap Tumbuh,https://id.techinasia.com/cara-bukalapak-menjaga-komunitas-pelapaknya,Profesional,Team Management
1,Memahami Cara Penyelenggara Dompet Digital Meraup Penghasilan,https://id.techinasia.com/cara-dompet-digital-raup-penghasilan,Startup,Industry Insights
1,Bagaimana <em>Content Writer</em> Bekerja dan Kemampuan yang Harus Dikuasai,https://id.techinasia.com/cara-jadi-content-writer-di-startup,Profesional,Self Management
1,Cara kerja <em>DNS Hijacking</em> yang serang <em>server</em> PANDI dan situs ID-SRTII,https://id.techinasia.com/cara-kerja-dns-hijacking-serang-idsirtii-pandi,Teknologi,
1,Tip Nodeflux untuk <em>Startup</em> jika Ingin Membentuk dan Maksimalkan Tim <em>Public Relation</em>,https://id.techinasia.com/cara-kerja-public-relation-nodeflux,Profesional,Digital Marketing
1,Cara MDI Ventures Menjaga Ekosistem Digital Indonesia Selama Pandemi,https://id.techinasia.com/cara-mdi-ventures-jaga-ekosistem-digital,Startup,Investor
1,Usability Testing - Temukan Apa yang Salah dengan Produk Kamu,https://id.techinasia.com/cara-melakukan-usability-testing,Profesional,Product Development
1,[Infografis] Bagaimana Cara Mendapat Investasi dari <em>Venture Capital</em>?,https://id.techinasia.com/cara-mendapatkan-investasi-dari-venture-capital-dalam-infografis,Startup,Entrepreneur
1,Belajar Bagaimana Cara UX <em>Writer</em> Gojek Mengembangkan Aplikasi,https://id.techinasia.com/cara-ux-writer-gojek-kembangkan-aplikasi,Profesional,Product Development
1,Cerita 3 <em>Founder</em> yang Sempat Gagal Membangun <em>Startup</em> di Indonesia,https://id.techinasia.com/cerita-kegagalan-founder-membangun-startup,Startup,Entrepreneur
1,Adu Strategi <em>Cloud Kitchen</em> Gojek dan Grab di Indonesia,https://id.techinasia.com/cloud-kitchen-gojek-grab-indonesia,Startup,Featured Startup
1,"Clozette Indonesia, jejaring sosial yang memanjakan kebutuhan wanita Indonesia",https://id.techinasia.com/clozette-indonesia-jejaring-sosial-yang-memanjakan-kebutuhan-wanita-indonesia,Startup,"Region, Internasional"
1,ANGIN Ingin Permudah <em>Startup</em> Mencari Pendanaan Melalui Connector.ID,https://id.techinasia.com/connector-id-permudah-cari-pendanaan,Startup,Investor
1,Karakteristik <em>Convertible Note</em> sebagai Salah Satu Instrumen Pendanaan <em>Startup</em>,https://id.techinasia.com/convertible-note-instrumen-pendanaan-startup,Startup,Industry Insights
1,"Gara-Gara COVID-19, Investor <em>Startup</em> Cenderung <em>Wait and See</em>?",https://id.techinasia.com/covid-19-investor-wait-and-see,Startup,Investor
1,Crewdible Bantu Toko Online Mengurus Masalah Operasional,https://id.techinasia.com/crewdible-operasional-toko-online,Startup,Startup Terbaru
1,Cara Bukalapak Mengukur dan Mengembangkan Customer Experience,https://id.techinasia.com/customer-experience-bukalapak,Profesional,Growth Hack
1,Memahami Cara Kerja Tim <em>Customer Experience</em> Tokopedia,https://id.techinasia.com/customer-experience-tokopedia,,Team Management
1,[Infografik] Kasus Dugaan Kebocoran Data yang Pernah Terjadi di Indonesia,https://id.techinasia.com/daftar-kasus-dugaan-kebocoran-data-indonesia,Visual Story,
1,5 marketplace pesaing Tokopedia di Indonesia,https://id.techinasia.com/daftar-marketplace-pesaing-tokopedia-indonesia,Startup,Featured Startup
1,[Update] Kumpulan <em>Startup</em> Katering <em>Online</em> di Jakarta,https://id.techinasia.com/daftar-startup-katering-online-jakarta,Startup,Featured Startup
1,[UPDATE] Daftar <em>E-commerce</em> Produk Pangan Organik di Indonesia,https://id.techinasia.com/daftar-website-ecommerce-produk-pangan-organik,Startup,Featured Startup
1,Analisis Dampak Kehadiran Tokopedia terhadap Perekonomian Indonesia,https://id.techinasia.com/dampak-tokopedia-ekonomi-indonesia,Startup,Featured Startup
1,Bagaimana XL Menggunakan Data Penggunanya untuk Pemasaran Hingga Buat Produk Baru,https://id.techinasia.com/data-driven-marketing-xl,Profesional,Digital Marketing
1,"Deliveree, Layanan Logistik Pesaing Go-Box di Indonesia",https://id.techinasia.com/deliveree-pesaing-go-box-di-indonesia,Startup,"Region, Jakarta, Internasional, Startup Terbaru"
1,East Ventures Rilis Laporan Pemetaan Dampak Ekonomi Digital di Indonesia,https://id.techinasia.com/east-ventures-pemetaan-dampak-ekonomi-digital-indonesia,Startup,Industry Insights
1,Produsen Alat Pemberi Pakan Ikan Pintar eFishery Peroleh Investasi Pra-seri A,https://id.techinasia.com/efishery-peroleh-pendanaan-pra-seri-a,Startup,"Investor, Region, Bandung"
1,"<em>Emotional Marketing</em>  ""Menyetir"" Konsumen seperti yang Apple Lakukan",https://id.techinasia.com/emotional-marketing-kendalikan-konsumen-seperti-apple,Profesional,Digital Marketing
1,"<em>Startup</em> Sewa Mobil Hipcar Tutup Layanan, Ada Apa?",https://id.techinasia.com/emstartupem-sewa-mobil-hipcar-tutup-operasional-ada-apa,Startup,Featured Startup
1,Perkembangan Industri <em>E-sport</em> Indonesia di Tahun 2019,https://id.techinasia.com/esport-indonesia-2019,Startup,Featured Startup
1,"16 fakta menarik seputar HarukaEdu, startup yang fokus pada pendidikan online",https://id.techinasia.com/fakta-menarik-seputar-harukaedu,,"Region, Jakarta, Startup Terbaru"
1,Lima faktor yang menentukan nilai valuasi startup Anda,https://id.techinasia.com/faktor-penentu-valuasi-startup,Startup,Entrepreneur
1,Cara Finfleet Jadi Perpanjangan Tangan Layanan Keuangan dan Logistik,https://id.techinasia.com/finfleet-solusi-layanan-lembaga-keuangan-logistik,Startup,Startup Terbaru
1,"Andalkan Ulasan Kuliner dengan Video, Foody Ingin Saingi Zomato dan Qraved",https://id.techinasia.com/foody-usung-video-kuliner-untuk-saingi-zomato-dan-qraved,Startup,Startup Terbaru
1,"Dorong Perkembangan GO-TIX, GO-JEK Akuisisi LOKET",https://id.techinasia.com/gojek-akuisisi-loket,Startup,"Akuisisi, Region, Jakarta"
1,Pelajaran dari GO-JEK tentang Pentingnya North Star Metric di Perusahaan,https://id.techinasia.com/gojek-pelajaran-north-star-metric,Profesional,Growth Hack
1,[Update] Gojek Resmi Mengakuisisi <em>Startup Point of Sales</em> Moka,https://id.techinasia.com/gojek-rencananya-akuisisi-blue-bird-dan-moka,Startup,Startup Update
1,"[Flash] Galang Dana Investasi Rp1,8 Triliun, GREE Ventures Ubah Nama Jadi Strive",https://id.techinasia.com/gree-ventures-ubah-nama-jadi-strive,Startup,Investor
1,"Pemerintah Umumkan <em>Roadmap E-commerce</em>, Apa Saja yang Perlu Kamu Tahu?",https://id.techinasia.com/hal-penting-yang-perlu-diketahui-dari-roadmap-e-commerce-indonesia,Startup,
1,Pengaruh Identitas <em>Brand</em> terhadap Tingkat Kesetiaan Konsumen,https://id.techinasia.com/identitas-brand-mempengaruhi-kesetiaan-konsumen,Profesional,Digital Marketing
1,Bagaimana Sebuah Blog Milenial Jadi Perusahaan Media dengan 50 Juta Pembaca,https://id.techinasia.com/idn-time-bermula-dari-blog,Startup,Featured Startup
1,Imbas Virus Corona pada <em>Traffic</em> dan Layanan <em>Startup Healthtech</em> Indonesia,https://id.techinasia.com/imbas-corona-bagi-startup-healthtech,Contoh Artikel Premium,
1,Cara ShopBack Implementasi OKR untuk Pengembangan Produk,https://id.techinasia.com/implementasi-okr-pengembangan-produk,Profesional,Product Development
1,[Infografis] Traveloka: Sejarah Lahirnya Sebuah <em>Unicorn</em>,https://id.techinasia.com/infografis-sejarah-traveloka,Startup,Featured Startup
1,Jala - <em>Startup</em> Monitor Tambak Udang Buatan Lulusan Universitas Gadjah Mada,https://id.techinasia.com/jala-monitor-tambak-udang,Startup,"Region, Yogyakarta, Startup Terbaru"
1,Mau Pakai Kecerdasan Buatan untuk Rekrutmen? Pahami Dulu Kebutuhannya,https://id.techinasia.com/kecerdasan-buatan-dalam-rekrutmen,Profesional,Team Management
1,Kesalahpahaman Umum <em>Startup</em> Saat Pertama Kali Bekerja dengan Agensi Humas,https://id.techinasia.com/kesalahpahaman-startup-bekerja-dengan-agensi-humas,Profesional,Digital Marketing
1,Bagaimana Sebaiknya <em>Startup</em> Mengeksekusi Rencana Keuangan Setelah Kantongi Pendanaan,https://id.techinasia.com/kiat-eksekusi-modal-usai-menerima-pendanaan,Startup,Industry Insights
1,Kiat Memilih <em>Angel Investor</em> yang Tepat bagi <em>Startup</em>,https://id.techinasia.com/kiat-memilih-angel-investor-yang-tepat-bagi-startup,Startup,Featured Startup
1,Panduan Singkat Jika Hendak Menerapkan OKR di Perusahaan <em>Startup</em>,https://id.techinasia.com/kiat-mengimplementasikan-okr-di-perusahaan,Profesional,"Entrepreneur, Team Management"
1,Belajar Kegagalan dan Empati dari Kisah Hidup J.K. Rowling,https://id.techinasia.com/kisah-hidup-jk-rowling,Profesional,Self Management
1,Jack Ma vs Jeff Bezos: Dua miliarder e-commerce yang sangat bertolak belakang,https://id.techinasia.com/kisah-jack-ma-vs-jeff-bezos-alibaba-vs-amazon,Startup,Entrepreneur
1,Kisah di Balik <em>Startup</em> Gulung Tikar: Bubar karena Konflik para <em>Co-founder</em>,https://id.techinasia.com/kisah-startup-gulung-tikar-konflik-co-founder,Startup,Featured Startup
1,Kisah <em>Startup</em> Lokal yang Berkembang meski Tidak Terima Pendanaan VC,https://id.techinasia.com/kisah-sukses-startup-bootstrap,Startup,Featured Startup
1,[Update] Kondisi dan Kebutuhan Ekosistem <em>Startup</em> di Luar Jakarta,https://id.techinasia.com/kondisi-ekosistem-startup-luar-jakarta,Startup,Featured Startup
1,Kondisi Iklim Investasi <em>Startup</em> di Indonesia dan Potensi <em>Bubble Burst</em> yang Menyertai,https://id.techinasia.com/kondisi-iklim-investasi-startup-dan-potensi-bubble,Startup,Investor
1,Kumpulan Perusahaan Pembuat <em>Drone</em> yang Perlu Kamu Ketahui,https://id.techinasia.com/kumpulan-perusahaan-pembuat-drone-yang-perlu-kamu-ketahui,Teknologi,Gadget
1,Kumpulan <em>Startup</em> Agregator Hotel Murah di Indonesia,https://id.techinasia.com/kumpulan-startup-agregator-hotel-murah-di-indonesia,Startup,Featured Startup
1,3 Alasan bagi Mahasiswa untuk Menggunakan Aplikasi Penyimpanan Berbasis <em>Cloud</em>,https://id.techinasia.com/mahasiswa-perlu-menggunakan-cloud-storage,Profesional,Self Management
1,Memanfaatkan <em>Focus Group</em> sebagai Landasan Strategi Bisnis,https://id.techinasia.com/manfaat-focus-group-dalam-strategi-bisnis,Profesional,"Digital Marketing, Product Development"
1,[Updated] Kumpulan Media <em>Online</em> dengan Konten <em>Viral</em> di Indonesia,https://id.techinasia.com/media-online-mirip-buzzfeed,Teknologi,Featured Tech
1,Bagaimana Melakukan A/B <em>Testing</em> Pada <em>Website</em>,https://id.techinasia.com/melakukan-ab-testing-pada-website,Profesional,Product Development
1,5 Langkah Menciptakan Kultur Perusahaan yang Hebat,https://id.techinasia.com/menciptakan-kultur-perusahaan-hebat,Profesional,Team Management
1,Cara Mengatasi Kendala Sistem Pembayaran di Indonesia,https://id.techinasia.com/mengatasi-kendala-pembayaran-indonesia,Startup,Industry Insights
1,3 Langkah Mudah Menghitung Valuasi <em>Startup</em> Tahap Awal,https://id.techinasia.com/menghitung-valuasi-startup-comparable,Startup,
1,"Mengintip Kantor Octagon Studio, <em>Startup Augmented Reality</em> asal Bandung",https://id.techinasia.com/mengintip-kantor-startup-ar-bandung-octagon-studio,Startup,Featured Startup
1,<em>Startup Social Commerce</em> Sedang Dapat Momentum di Indonesia,https://id.techinasia.com/momentum-startup-social-commerce-di-indonesia,Startup,Industry Insights
1,Praktik Monopoli 4 Raksasa Teknologi dan Potensi Serupa di Indonesia,https://id.techinasia.com/monopoli-4-raksasa-teknologi,Teknologi,Featured Tech
1,Apa yang Terjadi pada <em>Coworking Space</em>  ketika WFH Menjadi Normal Baru?,https://id.techinasia.com/nasib-coworking-space-di-era-normal-baru,Startup,Featured Startup
1,"Sepak Terjang Netflix di Indonesia, Layanan <em>Streaming</em> Film Terpopuler di Nusantara",https://id.techinasia.com/netflix-indonesia-streaming-film-terpopuler,Teknologi,Featured Tech
1,"Setelah Gagal Total, Ia Malah Berhasil Membesarkan VC Korporat Indonesia",https://id.techinasia.com/nicho-widjaja-antara-mdi-ventures-dan-bri-ventures,Startup,Entrepreneur
1,Cara Mengoptimalkan Pemasaran di Tengah Pandemi COVID-19,https://id.techinasia.com/optimalisasi-pemasaran-saat-pandemi,"Startup, Profesional",Digital Marketing
1,53 Organisasi yang Berpengaruh dalam Perkembangan <em>Startup</em> Sosial di Indonesia,https://id.techinasia.com/organisasi-perkembangan-startup-sosial-indonesia,,Industry Insights
1,Mengapa Otoritas Pajak dan <em>Startup</em> Perlu Menyamakan Persepsi,https://id.techinasia.com/otoritas-startup-samakan-persepsi-pajak,Startup,Industry Insights
1,Panduan Implementasi <em>Email Marketing</em> buat Pemula - Bagian Pertama,https://id.techinasia.com/panduan-email-marketing-bagian-pertama,Visual Story,
1,Kelas Google Analytics - Pegang Kendali Penuh Situs Kamu,https://id.techinasia.com/panduan-google-analytics-dasar,Profesional,Growth Hack